series_name,start_timestamp,value
T931,1983 Jan,4395.5
T931,1983 Feb,4820.5
T931,1983 Mar,5077.5
T931,1983 Apr,4983
T931,1983 May,5173
T931,1983 Jun,5427.5
T931,1983 Jul,4706.5
T931,1983 Aug,5237.5
T931,1983 Sep,5644
T931,1983 Oct,5725.5
T931,1983 Nov,5302.5
T931,1983 Dec,5048.5
T931,1984 Jan,5235.5
T931,1984 Feb,5757.5
T931,1984 Mar,5963.5
T931,1984 Apr,5793.5
T931,1984 May,5822
T931,1984 Jun,6164.5
T931,1984 Jul,5455
T931,1984 Aug,5830.5
T931,1984 Sep,5940
T931,1984 Oct,6032
T931,1984 Nov,5793
T931,1984 Dec,5266.5
T931,1985 Jan,5430.5
T931,1985 Feb,5796.5
T931,1985 Mar,6182
T931,1985 Apr,5878
T931,1985 May,6076.5
T931,1985 Jun,6247.5
T931,1985 Jul,5679
T931,1985 Aug,6167
T931,1985 Sep,6381
T931,1985 Oct,6436.5
T931,1985 Nov,5973
T931,1985 Dec,5386.5
T931,1986 Jan,5452
T931,1986 Feb,5974
T931,1986 Mar,6010.5
T931,1986 Apr,6087
T931,1986 May,6073.5
T931,1986 Jun,6417.5
T931,1986 Jul,5544.5
T931,1986 Aug,5987.5
T931,1986 Sep,6314
T931,1986 Oct,6349.5
T931,1986 Nov,5817
T931,1986 Dec,5504.5
T931,1987 Jan,5363.5
T931,1987 Feb,6336.5
T931,1987 Mar,6578
T931,1987 Apr,6252
T931,1987 May,6231.5
T931,1987 Jun,6558.5
T931,1987 Jul,5730.5
T931,1987 Aug,6069
T931,1987 Sep,6404
T931,1987 Oct,6312.5
T931,1987 Nov,6118.5
T931,1987 Dec,5729
T931,1988 Jan,5694
T931,1988 Feb,6502.5
T931,1988 Mar,6871.5
T931,1988 Apr,6611
T931,1988 May,6829
T931,1988 Jun,7363
T931,1988 Jul,5961
T931,1988 Aug,6517
T931,1988 Sep,6974
T931,1988 Oct,7006.5
T931,1988 Nov,6714
T931,1988 Dec,6373
T931,1989 Jan,6255
T931,1989 Feb,6946
T931,1989 Mar,7291
T931,1989 Apr,6904.5
T931,1989 May,6926.5
T931,1989 Jun,7124.5
T931,1989 Jul,5955.5
T931,1989 Aug,6731
T931,1989 Sep,7085.5
T931,1989 Oct,7051
T931,1989 Nov,6639
T931,1989 Dec,6181.5
T931,1990 Jan,5869.5
T931,1990 Feb,6803.5
T931,1990 Mar,7325
T931,1990 Apr,6822.5
T931,1990 May,7265
T931,1990 Jun,7383
T931,1990 Jul,6260
T931,1990 Aug,6812
T931,1990 Sep,7152
T931,1990 Oct,7202
T931,1990 Nov,6427
T931,1990 Dec,6205
T931,1991 Jan,5777.5
T931,1991 Feb,6375
T931,1991 Mar,6667.5
T931,1991 Apr,6482.5
T931,1991 May,6682
T931,1991 Jun,6967
T931,1991 Jul,5923.5
T931,1991 Aug,6650.5
T931,1991 Sep,6986.5
T931,1991 Oct,7220.5
T931,1991 Nov,6736
T931,1991 Dec,6070
T931,1992 Jan,5810.5
T931,1992 Feb,6538
T931,1992 Mar,6835
T931,1992 Apr,6617.5
T931,1992 May,6760.5
T931,1992 Jun,7203.5
T931,1992 Jul,6097.5
T931,1992 Aug,6745.5
T931,1992 Sep,7128.5
T931,1992 Oct,7152
T931,1992 Nov,6713
T931,1992 Dec,6643.5
T931,1993 Jan,6156.5
T931,1993 Feb,6886.5
T931,1993 Mar,7420.5
T931,1993 Apr,6870.5
T931,1993 May,7222.5
T931,1993 Jun,7704.5
T931,1993 Jul,6260.5
T931,1993 Aug,7097.5
T931,1993 Sep,7582
T931,1993 Oct,7656
T931,1993 Nov,7256.5
T931,1993 Dec,6970
T931,1994 Jan,6727.5
T931,1994 Feb,7283.5
