ym,value
1857 Jan,2720
1857 Feb,3160
1857 Mar,4280
1857 Apr,5600
1857 May,7800
1857 Jun,9080
1857 Jul,9800
1857 Aug,9640
1857 Sep,8440
1857 Oct,6600
1857 Nov,4960
1857 Dec,3720
1858 Jan,1960
1858 Feb,2680
1858 Mar,4120
1858 Apr,6320
1858 May,6680
1858 Jun,10040
1858 Jul,8600
1858 Aug,8840
1858 Sep,8560
1858 Oct,6160
1858 Nov,3040
1858 Dec,3560
1859 Jan,3240
1859 Feb,3960
1859 Mar,5200
1859 Apr,6120
1859 May,7440
1859 Jun,9040
1859 Jul,10800
1859 Aug,9760
1859 Sep,7800
1859 Oct,6680
1859 Nov,4080
1859 Dec,2320
1860 Jan,3720
1860 Feb,2320
1860 Mar,3760
1860 Apr,4960
1860 May,7600
1860 Jun,8040
1860 Jul,8320
1860 Aug,8120
1860 Sep,7240
1860 Oct,6000
1860 Nov,3760
1860 Dec,2960
1861 Jan,1320
1861 Feb,3880
1861 Mar,4880
1861 Apr,5600
1861 May,7080
1861 Jun,9240
1861 Jul,9000
1861 Aug,9640
1861 Sep,7920
1861 Oct,6880
1861 Nov,4160
1861 Dec,3320
1862 Jan,2960
1862 Feb,3880
1862 Mar,5520
1862 Apr,6600
1862 May,8080
1862 Jun,8120
1862 Jul,9040
1862 Aug,8520
1862 Sep,8080
1862 Oct,6640
1862 Nov,3840
1862 Dec,4160
1863 Jan,3800
1863 Feb,3680
1863 Mar,4560
1863 Apr,6240
1863 May,7320
1863 Jun,8520
1863 Jul,9080
1863 Aug,9600
1863 Sep,7080
1863 Oct,6400
1863 Nov,4600
1863 Dec,4040
1864 Jan,2240
1864 Feb,2680
1864 Mar,4960
1864 Apr,6160
1864 May,7560
1864 Jun,8120
1864 Jul,9280
1864 Aug,8440
1864 Sep,7760
1864 Oct,5760
1864 Nov,3760
1864 Dec,1960
