"series_name","start_timestamp","value"
"T1161",1983 Jan,2068.02
"T1161",1983 Feb,2004.12
"T1161",1983 Mar,2002.29
"T1161",1983 Apr,2023.17
"T1161",1983 May,2030.25
"T1161",1983 Jun,2081.64
"T1161",1983 Jul,2115.69
"T1161",1983 Aug,2157.42
"T1161",1983 Sep,2195.91
"T1161",1983 Oct,2235.57
"T1161",1983 Nov,2301.54
"T1161",1983 Dec,2514.06
"T1161",1984 Jan,2445.42
"T1161",1984 Feb,2418.48
"T1161",1984 Mar,2462.28
"T1161",1984 Apr,2498.13
"T1161",1984 May,2571.75
"T1161",1984 Jun,2651.61
"T1161",1984 Jul,2676.24
"T1161",1984 Aug,2748.36
"T1161",1984 Sep,2817.21
"T1161",1984 Oct,2863.08
"T1161",1984 Nov,2944.44
"T1161",1984 Dec,3185.28
"T1161",1985 Jan,3162.36
"T1161",1985 Feb,3140.13
"T1161",1985 Mar,3179.01
"T1161",1985 Apr,3235.68
"T1161",1985 May,3253.95
"T1161",1985 Jun,3294.63
"T1161",1985 Jul,3333.87
"T1161",1985 Aug,3396.15
"T1161",1985 Sep,3465.24
"T1161",1985 Oct,3509.1
"T1161",1985 Nov,3607.26
"T1161",1985 Dec,3866.79
"T1161",1986 Jan,3824.16
"T1161",1986 Feb,3765.48
"T1161",1986 Mar,3760.32
"T1161",1986 Apr,3813.03
"T1161",1986 May,3844.08
"T1161",1986 Jun,3873.87
"T1161",1986 Jul,3896.31
"T1161",1986 Aug,3940.68
"T1161",1986 Sep,3949.98
"T1161",1986 Oct,3986.76
"T1161",1986 Nov,4057.32
"T1161",1986 Dec,4309.86
"T1161",1987 Jan,4170.81
"T1161",1987 Feb,4097.7
"T1161",1987 Mar,4063.47
"T1161",1987 Apr,4134.09
"T1161",1987 May,4174.71
"T1161",1987 Jun,4256.73
"T1161",1987 Jul,4317.75
"T1161",1987 Aug,4374.39
"T1161",1987 Sep,4445.7
"T1161",1987 Oct,4480.59
"T1161",1987 Nov,4526.76
"T1161",1987 Dec,4854.57
"T1161",1988 Jan,4808.97
"T1161",1988 Feb,4724.16
"T1161",1988 Mar,4707.42
"T1161",1988 Apr,4755.12
"T1161",1988 May,4791.33
"T1161",1988 Jun,4867.83
"T1161",1988 Jul,4885.14
"T1161",1988 Aug,4957.62
"T1161",1988 Sep,4998.33
"T1161",1988 Oct,5053.83
"T1161",1988 Nov,5204.58
"T1161",1988 Dec,5521.8
"T1161",1989 Jan,5372.01
"T1161",1989 Feb,5287.05
"T1161",1989 Mar,5303.85
"T1161",1989 Apr,5361.12
"T1161",1989 May,5404.62
"T1161",1989 Jun,5486.79
"T1161",1989 Jul,5528.34
"T1161",1989 Aug,5651.82
"T1161",1989 Sep,5684.82
"T1161",1989 Oct,5722.2
"T1161",1989 Nov,5874.81
"T1161",1989 Dec,6283.23
"T1161",1990 Jan,6166.74
"T1161",1990 Feb,6126.21
"T1161",1990 Mar,6114
"T1161",1990 Apr,6168.84
"T1161",1990 May,6265.8
"T1161",1990 Jun,6330.06
"T1161",1990 Jul,6426.15
"T1161",1990 Aug,6530.88
"T1161",1990 Sep,6573.15
"T1161",1990 Oct,6592.89
"T1161",1990 Nov,6741.9
"T1161",1990 Dec,7044.03
"T1161",1991 Jan,6797.76
"T1161",1991 Feb,6732.99
"T1161",1991 Mar,6774.66
"T1161",1991 Apr,6832.83
"T1161",1991 May,6911.34
"T1161",1991 Jun,6963.51
"T1161",1991 Jul,6988.08
"T1161",1991 Aug,7089.84
"T1161",1991 Sep,7160.31
"T1161",1991 Oct,7222.32
"T1161",1991 Nov,7327.29
"T1161",1991 Dec,7706.28
"T1161",1992 Jan,7507.02
"T1161",1992 Feb,7368.15
"T1161",1992 Mar,7292.28
"T1161",1992 Apr,7306.32
"T1161",1992 May,7327.08
"T1161",1992 Jun,7397.88
"T1161",1992 Jul,7389.96
"T1161",1992 Aug,7451.58
"T1161",1992 Sep,7482.63
"T1161",1992 Oct,7499.49
"T1161",1992 Nov,7586.31
"T1161",1992 Dec,8038.47
"T1161",1993 Jan,7822.74
"T1161",1993 Feb,7723.2
"T1161",1993 Mar,7686.99
"T1161",1993 Apr,7733.49
"T1161",1993 May,7786.98
"T1161",1993 Jun,7829.79
"T1161",1993 Jul,7923
"T1161",1993 Aug,8089.89
"T1161",1993 Sep,8177.37
"T1161",1993 Oct,8253.27
"T1161",1993 Nov,8402.4
"T1161",1993 Dec,8893.35
"T1161",1994 Jan,8702.97
