Data from series

Total Nacional. Tasa de paro de la población. Ambos sexos. 16 y más años. 
Series,EPA815
Periodicity,Trimestral
Unit,Tasas
DATA
PERIOD,VALUE,DATA TYPE,NOTE
2021T4,13,33,Definitivo,
2021T3,14,57,Definitivo,
2021T2,15,26,Definitivo,
2021T1,15,98,Definitivo,
2020T4,16,13,Definitivo,
2020T3,16,26,Definitivo,
2020T2,15,33,Definitivo,
2020T1,14,41,Definitivo,
2019T4,13,78,Definitivo,
2019T3,13,92,Definitivo,
2019T2,14,02,Definitivo,
2019T1,14,70,Definitivo,
2018T4,14,45,Definitivo,
2018T3,14,55,Definitivo,
2018T2,15,28,Definitivo,
2018T1,16,74,Definitivo,
2017T4,16,55,Definitivo,
2017T3,16,38,Definitivo,
2017T2,17,22,Definitivo,
2017T1,18,75,Definitivo,
2016T4,18,63,Definitivo,
2016T3,18,91,Definitivo,
2016T2,20,00,Definitivo,
2016T1,21,00,Definitivo,
2015T4,20,90,Definitivo,
2015T3,21,18,Definitivo,
2015T2,22,37,Definitivo,
2015T1,23,78,Definitivo,
2014T4,23,70,Definitivo,
2014T3,23,67,Definitivo,
2014T2,24,47,Definitivo,
2014T1,25,93,Definitivo,
2013T4,25,73,Definitivo,
2013T3,25,65,Definitivo,
2013T2,26,06,Definitivo,
2013T1,26,94,Definitivo,
2012T4,25,77,Definitivo,
2012T3,24,79,Definitivo,
2012T2,24,40,Definitivo,
2012T1,24,19,Definitivo,
2011T4,22,56,Definitivo,
2011T3,21,28,Definitivo,
2011T2,20,64,Definitivo,
2011T1,21,08,Definitivo,
2010T4,20,11,Definitivo,
2010T3,19,59,Definitivo,
2010T2,19,89,Definitivo,
2010T1,19,84,Definitivo,
2009T4,18,66,Definitivo,
2009T3,17,75,Definitivo,
2009T2,17,77,Definitivo,
2009T1,17,24,Definitivo,
2008T4,13,79,Definitivo,
2008T3,11,23,Definitivo,
2008T2,10,36,Definitivo,
2008T1,9,60,Definitivo,
2007T4,8,57,Definitivo,
2007T3,8,01,Definitivo,
2007T2,7,93,Definitivo,
2007T1,8,42,Definitivo,
2006T4,8,26,Definitivo,
2006T3,8,08,Definitivo,
2006T2,8,44,Definitivo,
2006T1,9,03,Definitivo,
2005T4,8,71,Definitivo,
2005T3,8,41,Definitivo,
2005T2,9,32,Definitivo,
2005T1,10,17,Definitivo,
2004T4,10,53,Definitivo,
2004T3,10,74,Definitivo,
2004T2,11,09,Definitivo,
2004T1,11,50,Definitivo,
2003T4,11,37,Definitivo,
2003T3,11,30,Definitivo,
2003T2,11,28,Definitivo,
2003T1,11,99,Definitivo,
2002T4,11,61,Definitivo,
2002T3,11,49,Definitivo,
2002T2,11,15,Definitivo,
2002T1,11,55,Definitivo,

Data item: .. Data not available
Data item: - Protected by statistical secrecy
