year;month;unemp
2001;Enero;2017389
2001;Febrero;1993273
2001;Marzo;1981006
2001;Abril;1910453
2001;Mayo;1898285
2001;Junio;1842556
2001;Julio;1835738
2001;Agosto;1878513
2001;Septiembre;1889185
2001;Octubre;1940910
2001;Noviembre;1985857
2001;Diciembre;1988716
2002;Enero;2075022
2002;Febrero;2149907
2002;Marzo;2083103
2002;Abril;2060069
2002;Mayo;2002923
2002;Junio;1962963
2002;Julio;1961852
2002;Agosto;1983982
2002;Septiembre;2006785
2002;Octubre;2064513
2002;Noviembre;2117144
2002;Diciembre;2127018
2003;Enero;2185156
2003;Febrero;2180216
2003;Marzo;2163499
2003;Abril;2104474
2003;Mayo;2035601
2003;Junio;2020367
2003;Julio;1995964
2003;Agosto;2016675
2003;Septiembre;2039630
2003;Octubre;2096606
2003;Noviembre;2143206
2003;Diciembre;2181248
2004;Enero;2232560
2004;Febrero;2219300
2004;Marzo;2181546
2004;Abril;2162406
2004;Mayo;2090702
2004;Junio;2054113
2004;Julio;2014218
2004;Agosto;2049639
2004;Septiembre;2050513
2004;Octubre;2075812
2004;Noviembre;2121089
2004;Diciembre;2112714
2005;Enero;2176599
2005;Febrero;2165420
2005;Marzo;2144835
2005;Abril;2095945
2005;Mayo;2007393
2005;Junio;1974860
2005;Julio;1989417
2005;Agosto;2019110
2005;Septiembre;2013286
2005;Octubre;2052861
2005;Noviembre;2095580
2005;Diciembre;2102937
2006;Enero;2171503
2006;Febrero;2169277
2006;Marzo;2148530
2006;Abril;2075676
2006;Mayo;2004528
2006;Junio;1959754
2006;Julio;1954984
2006;Agosto;1983677
2006;Septiembre;1966166
2006;Octubre;1992836
2006;Noviembre;2023164
2006;Diciembre;2022873
2007;Enero;2082508
2007;Febrero;2075275
2007;Marzo;2059451
2007;Abril;2023124
2007;Mayo;1973231
2007;Junio;1965869
2007;Julio;1970338
2007;Agosto;2028296
2007;Septiembre;2017363
2007;Octubre;2048577
2007;Noviembre;2094473
2007;Diciembre;2129547
2008;Enero;2261925
2008;Febrero;2315331
2008;Marzo;2300975
2008;Abril;2338517
2008;Mayo;2353575
2008;Junio;2390424
2008;Julio;2426916
2008;Agosto;2530001
2008;Septiembre;2625368
2008;Octubre;2818026
2008;Noviembre;2989269
2008;Diciembre;3128963
2009;Enero;3327801
2009;Febrero;3481859
2009;Marzo;3605402
2009;Abril;3644880
2009;Mayo;3620139
2009;Junio;3564889
2009;Julio;3544095
2009;Agosto;3629080
2009;Septiembre;3709447
2009;Octubre;3808353
2009;Noviembre;3868946
2009;Diciembre;3923603
2010;Enero;4048493
2010;Febrero;4130625
2010;Marzo;4166613
2010;Abril;4142425
2010;Mayo;4066202
2010;Junio;3982368
2010;Julio;3908578
2010;Agosto;3969661
2010;Septiembre;4017763
2010;Octubre;4085976
2010;Noviembre;4110294
2010;Diciembre;4100073
2011;Enero;4231003
2011;Febrero;4299263
2011;Marzo;4333669
2011;Abril;4269360
2011;Mayo;4189659
2011;Junio;4121801
2011;Julio;4079742
2011;Agosto;4130927
2011;Septiembre;4226744
2011;Octubre;4360926
2011;Noviembre;4420462
2011;Diciembre;4422359
2012;Enero;4599829
2012;Febrero;4712098
2012;Marzo;4750867
2012;Abril;4744235
2012;Mayo;4714122
2012;Junio;4615269
2012;Julio;4587455
2012;Agosto;4625634
2012;Septiembre;4705279
2012;Octubre;4833521
2012;Noviembre;4907817
2012;Diciembre;4848723
2013;Enero;4980778
2013;Febrero;5040222
2013;Marzo;5035243
2013;Abril;4989193
2013;Mayo;4890928
2013;Junio;4763680
2013;Julio;4698814
2013;Agosto;4698783
2013;Septiembre;4724355
2013;Octubre;4811383
2013;Noviembre;4808908
2013;Diciembre;4701338
2014;Enero;4814435
2014;Febrero;4812486
2014;Marzo;4795866
2014;Abril;4684301
2014;Mayo;4572385
2014;Junio;4449701
2014;Julio;4419860
2014;Agosto;4427930
2014;Septiembre;4447650
2014;Octubre;4526804
2014;Noviembre;4512116
2014;Diciembre;4447711
2015;Enero;4525691
2015;Febrero;4512153
2015;Marzo;4451939
2015;Abril;4333016
2015;Mayo;4215031
2015;Junio;4120304
2015;Julio;4046276
2015;Agosto;4067955
2015;Septiembre;4094042
2015;Octubre;4176369
2015;Noviembre;4149298
2015;Diciembre;4093508
2016;Enero;4150755
2016;Febrero;4152986
2016;Marzo;4094770
2016;Abril;4011171
2016;Mayo;3891403
2016;Junio;3767054
2016;Julio;3683061
2016;Agosto;3697496
2016;Septiembre;3720297
2016;Octubre;3764982
2016;Noviembre;3789823
2016;Diciembre;3702974
2017;Enero;3760231
2017;Febrero;3750876
2017;Marzo;3702317
2017;Abril;3573036
2017;Mayo;3461128
2017;Junio;3362811
2017;Julio;3335924
2017;Agosto;3382324
2017;Septiembre;3410182
2017;Octubre;3467026
2017;Noviembre;3474281
2017;Diciembre;3412781
2018;Enero;3476528
2018;Febrero;3470248
2018;Marzo;3422551
2018;Abril;3335868
2018;Mayo;3252130
2018;Junio;3162162
2018;Julio;3135021
2018;Agosto;3182068
2018;Septiembre;3202509
2018;Octubre;3254703
2018;Noviembre;3252867
2018;Diciembre;3202297
2019;Enero;3285761
2019;Febrero;3289040
2019;Marzo;3255084
2019;Abril;3163566
2019;Mayo;3079491
2019;Junio;3015686
2019;Julio;3011433
2019;Agosto;3065804
2019;Septiembre;3079711
2019;Octubre;3177659
2019;Noviembre;3198184
2019;Diciembre;3163605
2020;Enero;3253853
2020;Febrero;3246047
2020;Marzo;3548312
2020;Abril;3831203
2020;Mayo;3857776
2020;Junio;3862883
2020;Julio;3773034
2020;Agosto;3802814
2020;Septiembre;3776485
2020;Octubre;3826043
2020;Noviembre;3851312
2020;Diciembre;3888137
2021;Enero;3964353
2021;Febrero;4008789
2021;Marzo;3949640
2021;Abril;3910628
2021;Mayo;3781250
2021;Junio;3614339
2021;Julio;3416498
2021;Agosto;3333915
2021;Septiembre;3257802
2021;Octubre;3257068
2021;Noviembre;3182687
2021;Diciembre;3105905
2022;Enero;3123078
2022;Febrero;3111684
